Дата,ID_пробы,Точка_отбора,A_Fe_сигнал,pH_измерено,Температура_C,Электропроводность_мкСм_см
2026-01-05,S-0001,Точка-1 (скважина),0.1131,7.25,24.3,625.0
2026-01-05,S-0002,Точка-2 (резервуар),0.1463,7.53,9.0,623.0
2026-01-05,S-0003,Точка-1 (скважина),0.1275,7.61,11.2,661.0
2026-01-05,S-0004,Точка-3 (сброс),0.172,6.36,18.1,675.0
2026-01-06,S-0005,Точка-2 (резервуар),0.0529,5.92,10.8,290.0
2026-01-06,S-0006,Точка-3 (сброс),0.1628,7.79,4.9,736.0
2026-01-06,S-0007,Точка-2 (резервуар),0.2556,6.82,2.8,548.0
2026-01-06,S-0008,Точка-3 (сброс),0.3206,6.79,4.7,362.0
2026-01-07,S-0009,Точка-2 (резервуар),0.0154,7.32,18.9,677.0
2026-01-07,S-0010,Точка-2 (резервуар),0.1666,7.03,5.8,730.0
2026-01-07,S-0011,Точка-3 (сброс),0.2879,6.98,8.4,917.0
2026-01-07,S-0012,Точка-2 (резервуар),0.1404,6.71,6.7,482.0
2026-01-08,S-0013,Точка-1 (скважина),0.0159,7.57,14.0,219.0
2026-01-08,S-0014,Точка-3 (сброс),0.3139,7.6,10.7,366.0
2026-01-08,S-0015,Точка-3 (сброс),0.1436,6.9,12.3,828.0
2026-01-08,S-0016,Точка-2 (резервуар),0.1329,7.57,13.7,758.0
2026-01-09,S-0017,Точка-1 (скважина),0.0308,7.23,8.8,835.0
2026-01-09,S-0018,Точка-3 (сброс),0.2233,6.94,8.0,710.0
2026-01-09,S-0019,Точка-1 (скважина),0.0385,7.46,13.0,656.0
2026-01-09,S-0020,Точка-3 (сброс),0.1681,6.95,10.3,698.0
2026-01-12,S-0021,Точка-2 (резервуар),0.1867,7.68,9.0,559.0
2026-01-12,S-0022,Точка-1 (скважина),0.1151,6.96,8.9,930.0
2026-01-12,S-0023,Точка-1 (скважина),0.1879,8.04,10.6,698.0
2026-01-12,S-0024,Точка-3 (сброс),0.2689,7.0,9.4,684.0
2026-01-13,S-0025,Точка-1 (скважина),0.0321,8.69,18.0,831.0
2026-01-13,S-0026,Точка-1 (скважина),0.0594,6.58,6.5,568.0
2026-01-13,S-0027,Точка-3 (сброс),0.0967,6.25,10.0,781.0
2026-01-13,S-0028,Точка-1 (скважина),0.1353,8.14,5.3,771.0
2026-01-14,S-0029,Точка-2 (резервуар),0.2414,7.15,13.7,572.0
2026-01-14,S-0030,Точка-3 (сброс),0.2088,7.81,8.7,743.0
2026-01-14,S-0031,Точка-1 (скважина),0.1615,5.91,5.1,700.0
2026-01-14,S-0032,Точка-3 (сброс),0.1401,7.57,9.6,712.0
2026-01-15,S-0033,Точка-3 (сброс),0.077,8.47,12.5,758.0
2026-01-15,S-0034,Точка-2 (резервуар),0.1284,6.79,15.8,521.0
2026-01-15,S-0035,Точка-2 (резервуар),0.2331,7.25,8.8,622.0
2026-01-15,S-0036,Точка-3 (сброс),0.1994,7.28,4.8,812.0
2026-01-16,S-0037,Точка-3 (сброс),0.1493,7.68,10.2,767.0
2026-01-16,S-0038,Точка-2 (резервуар),0.1348,7.11,7.0,599.0
2026-01-16,S-0039,Точка-1 (скважина),0.0955,7.22,13.7,863.0
2026-01-16,S-0040,Точка-2 (резервуар),0.0992,7.08,7.3,654.0
2026-01-19,S-0041,Точка-1 (скважина),0.1138,7.64,2.4,411.0
2026-01-19,S-0042,Точка-3 (сброс),0.3184,7.36,11.0,346.0
2026-01-19,S-0043,Точка-2 (резервуар),0.1279,6.57,17.5,545.0
2026-01-19,S-0044,Точка-2 (резервуар),0.206,7.07,10.8,720.0
2026-01-20,S-0045,Точка-3 (сброс),0.158,6.68,13.5,712.0
2026-01-20,S-0046,Точка-2 (резервуар),0.1593,7.65,4.4,710.0
2026-01-20,S-0047,Точка-2 (резервуар),0.1601,7.57,14.8,762.0
2026-01-20,S-0048,Точка-2 (резервуар),0.12,6.8,13.9,800.0
2026-01-21,S-0049,Точка-3 (сброс),0.1324,7.27,6.8,382.0
2026-01-21,S-0050,Точка-2 (резервуар),0.0627,7.08,14.5,636.0
2026-01-21,S-0051,Точка-1 (скважина),0.2411,7.07,4.3,640.0
2026-01-21,S-0052,Точка-2 (резервуар),0.1733,7.76,18.9,651.0
2026-01-22,S-0053,Точка-2 (резервуар),0.0918,7.24,14.6,590.0
2026-01-22,S-0054,Точка-3 (сброс),0.0842,7.97,6.5,410.0
2026-01-22,S-0055,Точка-3 (сброс),0.1746,7.68,3.9,641.0
2026-01-22,S-0056,Точка-2 (резервуар),0.0526,7.37,14.1,685.0
2026-01-23,S-0057,Точка-3 (сброс),0.1872,6.95,3.7,669.0
2026-01-23,S-0058,Точка-1 (скважина),0.1714,7.07,10.5,687.0
2026-01-23,S-0059,Точка-1 (скважина),0.0304,6.39,12.8,760.0
2026-01-23,S-0060,Точка-3 (сброс),0.2096,7.13,18.6,480.0
2026-01-26,S-0061,Точка-1 (скважина),0.0627,7.42,10.2,530.0
2026-01-26,S-0062,Точка-2 (резервуар),0.3036,8.29,10.7,283.0
2026-01-26,S-0063,Точка-3 (сброс),0.2481,7.21,7.2,534.0
2026-01-26,S-0064,Точка-1 (скважина),0.1145,7.75,9.6,687.0
2026-01-27,S-0065,Точка-1 (скважина),0.1187,6.13,15.6,371.0
2026-01-27,S-0066,Точка-2 (резервуар),0.1435,8.18,11.4,460.0
2026-01-27,S-0067,Точка-2 (резервуар),0.1794,5.64,3.7,614.0
2026-01-27,S-0068,Точка-2 (резервуар),0.0109,7.1,13.1,630.0
2026-01-28,S-0069,Точка-3 (сброс),0.2559,7.02,15.4,691.0
2026-01-28,S-0070,Точка-1 (скважина),0.0593,7.47,17.7,823.0
2026-01-28,S-0071,Точка-3 (сброс),0.3815,6.8,8.4,401.0
2026-01-28,S-0072,Точка-1 (скважина),0.1461,6.81,14.2,583.0
